classe,imagem,mse,psnr,brisque
notumor,no-0696.jpg,7617.4647,9.3127,34.9482
notumor,no-0697.jpg,6065.5117,10.3021,40.76
notumor,no-0698.jpg,6886.0859,9.7511,56.0565
notumor,no-0699.jpg,14298.9449,6.5778,43.198
notumor,no-0700.jpg,7808.695,9.205,49.7113
notumor,no-0701.jpg,8289.5422,8.9455,51.3599
notumor,no-0702.jpg,5584.0174,10.6613,31.605
notumor,no-0703.jpg,6666.8576,9.8916,50.4065
notumor,no-0704.jpg,6697.8448,9.8715,38.8944
notumor,no-0705.jpg,5986.992,10.3587,43.6855
notumor,no-0706.jpg,9367.4448,8.4146,41.0757
notumor,no-0707.jpg,4888.5701,11.239,28.8531
notumor,no-0708.jpg,7058.9189,9.6434,26.3479
notumor,no-0709.jpg,2933.8348,13.4564,42.4842
notumor,no-0710.jpg,6622.7462,9.9204,37.8945
notumor,no-0711.jpg,6567.9216,9.9565,37.5577
notumor,no-0712.jpg,3313.208,12.9283,37.24
notumor,no-0713.jpg,7016.9432,9.6693,46.1492
notumor,no-0714.jpg,2367.4565,14.388,1.4189
notumor,no-0715.jpg,5228.7401,10.9468,22.6481
notumor,no-0716.jpg,10100.4062,8.0874,25.3982
notumor,no-0717.jpg,6250.3894,10.1717,21.7544
notumor,no-0718.jpg,2208.2694,14.6903,44.3234
notumor,no-0719.jpg,7460.4267,9.4032,27.0135
notumor,no-0720.jpg,5842.1775,10.4651,42.9421
notumor,no-0721.jpg,3030.9408,13.315,42.573
notumor,no-0722.jpg,9169.7128,8.5072,35.5111
notumor,no-0723.jpg,5773.1898,10.5166,21.1866
notumor,no-0724.jpg,3537.1177,12.6443,29.4537
notumor,no-0725.jpg,9485.3957,8.3602,41.5937
notumor,no-0726.jpg,5278.2402,10.9059,36.1599
notumor,no-0727.jpg,3266.4028,12.9901,52.6189
notumor,no-0728.jpg,7327.0611,9.4815,33.5984
notumor,no-0729.jpg,7745.875,9.2401,44.7973
notumor,no-0730.jpg,10651.2497,7.8568,42.7962
notumor,no-0731.jpg,6549.2897,9.9689,35.833
notumor,no-0732.jpg,3751.7142,12.3885,38.1813
notumor,no-0733.jpg,5861.2106,10.4509,41.7681
notumor,no-0734.jpg,6179.778,10.2211,22.7921
notumor,no-0735.jpg,6082.3318,10.2901,30.0835
notumor,no-0736.jpg,3008.6219,13.3471,32.5027
notumor,no-0737.jpg,5721.5568,10.5557,36.5693
notumor,no-0738.jpg,6969.0601,9.6991,48.0071
notumor,no-0739.jpg,3981.2867,12.1306,33.0323
notumor,no-0740.jpg,8968.2055,8.6037,20.2024
notumor,no-0741.jpg,13168.3466,6.9355,48.4222
notumor,no-0742.jpg,8623.6038,8.7739,51.424
notumor,no-0743.jpg,9819.5535,8.2099,26.4326
notumor,no-0744.jpg,4631.7263,11.4734,19.0306
notumor,no-0745.jpg,7129.3199,9.6003,45.8425
notumor,no-0746.jpg,2520.2682,14.1163,54.9914
notumor,no-0747.jpg,1635.0764,15.9954,40.2397
notumor,no-0748.jpg,7629.1865,9.306,38.8704
notumor,no-0749.jpg,3469.6447,12.728,49.9678
notumor,no-0750.jpg,6699.296,9.8705,39.8359
notumor,no-0751.jpg,6090.4553,10.2843,30.3448
notumor,no-0752.jpg,7550.1045,9.3513,44.7025
notumor,no-0753.jpg,5225.2015,10.9498,34.0881
notumor,no-0754.jpg,4816.4862,11.3035,43.5478
notumor,no-0755.jpg,4357.936,11.738,40.7324
notumor,no-0756.jpg,3015.0489,13.3379,39.3093
notumor,no-0757.jpg,5790.8237,10.5034,29.7561
notumor,no-0758.jpg,5295.5392,10.8917,47.581
notumor,no-0759.jpg,2403.5098,14.3223,25.1852
notumor,no-0760.jpg,14282.8848,6.5826,45.2714
notumor,no-0761.jpg,10674.4765,7.8473,24.7586
notumor,no-0762.jpg,8315.8531,8.9317,40.6343
notumor,no-0763.jpg,7937.8403,9.1338,45.6613
notumor,no-0764.jpg,9883.3744,8.1818,32.8808
notumor,no-0765.jpg,144.2663,26.5392,83.3921
notumor,no-0766.jpg,4430.6602,11.6661,31.0439
notumor,no-0767.jpg,2375.4727,14.3733,41.3118
notumor,no-0768.jpg,947.1293,18.3667,48.189
notumor,no-0769.jpg,11179.9041,7.6464,37.9418
notumor,no-0770.jpg,9093.3869,8.5435,36.7178
notumor,no-0771.jpg,7303.6842,9.4954,32.1829
notumor,no-0772.jpg,6820.9503,9.7924,36.3135
notumor,no-0773.jpg,13459.3584,6.8406,54.8157
notumor,no-0774.jpg,7303.6842,9.4954,32.1829
notumor,no-0775.jpg,8471.1352,8.8514,24.6253
notumor,no-0776.jpg,9792.5522,8.2218,40.1516
notumor,no-0777.jpg,3841.9858,12.2852,63.1581
notumor,no-0778.jpg,10265.0925,8.0172,50.4478
